crossing,highway,natural,lanes,maxspeed,name,oneway,ref,surface,junction,bridge,layer,source,alt_name,building,service,intermittent,water,alt_name2,landuse,building:levels,alt_name:en,footway,access,shop,smoothness,width,amenity,healthcare,operator,operator:type,area_m2,length_m
,,,,,,,,,,,,,,industrial,,,,,,3,,,,,,,,,,,712.379822615249,119.10168582836724
,,,,,,,,,,,,,,industrial,,,,,,4,,,,,,,,,,,3040.9507864163775,220.61415222342538
,,,,,,,,,,,,,,yes,,,,,,2,,,,,,,,,,,205.20980794005436,62.289049882471915
,,,,,,,,,,,,,,yes,,,,,,2,,,,,,,,,,,205.25059150478182,62.28925249930789
,,,,,,,,,,,,,,yes,,,,,,2,,,,,,,,,,,205.23155758515986,62.29137676535701
,,,,,,,,,,,,,,yes,,,,,,2,,,,,,,,,,,205.17400445516245,62.29011365510995
,,,,,,,,,,,,,,yes,,,,,,2,,,,,,,,,,,205.17385653367035,62.290089866094014
,,,,,,,,,,,,,,yes,,,,,,2,,,,,,,,,,,205.24998809669887,62.2891555237711
,,,,,,,,,,,,,,yes,,,,,,2,,,,,,,,,,,205.3182494303127,62.30347536563539
,,,,,,,,,,,,,,yes,,,,,,2,,,,,,,,,,,205.10510405711037,62.275672841148264
,,,,,,,,,,,,,,yes,,,,,,2,,,,,,,,,,,205.1049583006258,62.275649435293516
,,,,,,,,,,,,,,yes,,,,,,2,,,,,,,,,,,205.3193466863238,62.303653266241355
,,,,,,,,,,,,,,yes,,,,,,2,,,,,,,,,,,205.17434418009594,62.29016989536582
,,,,,,,,,,,,,,yes,,,,,,2,,,,,,,,,,,205.19301706298884,62.28799001574001
,,,,,,,,,,,,,,yes,,,,,,2,,,,,,,,,,,205.1738046904826,62.29008337334861
,,,,,,,,,,,,,,yes,,,,,,2,,,,,,,,,,,205.2194260628894,62.274861366389715
,,,,,,,,,,,,,,yes,,,,,,2,,,,,,,,,,,205.14209763561882,62.27480792748168
,,,,,,,,,,,,,,yes,,,,,,3,,,,,,,,,,,636.1904077647893,104.35115759798188
,,,,,,,,,,,,,,industrial,,,,,,3,,,,,,,,,,,13486.79761081011,464.6864616930163
,,,,,,,,,,,,,,industrial,,,,,,3,,,,,,,,,,,1764.7312191252076,173.58528393885203
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,479.4006678823481
,residential,,,,Rua 5,,,,,,,,Rua Cinco,,,,,,,,,,,,,,,,,,0.0,225.52056339766307
,residential,,,,Rua 1,,,,,,,,Avenida Nadia Maria,,,,,,,,,,,,,,,,,,0.0,373.99397146744286
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,782.8831560686481
,residential,,,,Rua Falcão,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,295.7084288205395
,residential,,,,Rua 1,,,,,,,,Rua Um,,,,,,,,,,,,,,,,,,0.0,322.9830310462097
,residential,,,,Rua 2,,,,,,,,Rua Dois,,,,,,,,,,,,,,,,,,0.0,55.740026933147355
,residential,,,,Rua 3,,,,,,,,Rua Três,,,,,,,,,,,,,,,,,,0.0,55.052053435625176
,residential,,,,Rua 4,,,,,,,,Rua Quatro,,,,,,,,,,,,,,,,,,0.0,55.47071952927055
,residential,,,,Rua 5,,,,,,,,Rua Cinco,,,,,,,,,,,,,,,,,,0.0,55.99785957066222
,residential,,,,Rua 6,,,,,,,,Rua Seis,,,,,,,,,,,,,,,,,,0.0,55.47526473192669
,residential,,,,Rua 7,,,,,,,,Rua Sete,,,,,,,,,,,,,,,,,,0.0,54.044174749194426
,residential,,,,Rua 8,,,,,,,,Rua Oito,,,,,,,,,,,,,,,,,,0.0,54.278398517720014
,residential,,,,Rua 9,,,,,,,,Rua Nove,,,,,,,,,,,,,,,,,,0.0,53.97450501979673
,residential,,,,Rua 10,,,,,,,,Rua Dez,,,,,,,,,,,,,,,,,,0.0,55.45895777642373
,residential,,,,Rua 1',,,,,,,,Rua Dez,,,,,,,,Rua 1,,,,,,,,,,0.0,247.14421815919883
,residential,,,,Rua das Ciências,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,286.9650521980876
,residential,,,,Rua 13,,,,,,,,Rua Treze,,,,,,,,,,,,,,,,,,0.0,56.350192226206985
,residential,,,,Rua Morena,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,57.312026773882444
,residential,,,,Rua Tatu,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,55.44429267770867
,residential,,,,Rua Pavão,,,,,,,,Rua 2,,,,,,,,,,,,,,,,,,0.0,56.998789077887736
,residential,,,,Rua Ganso,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,54.161678117820536
,residential,,,,Rua Pato,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,54.54865638606635
,residential,,,,Rua 16,,,,,,,,Rua Dezesseis,,,,,,,,,,,,,,,,,,0.0,55.04807683541414
,residential,,,,Rua 11,,,,,,,,Rua Onze,,,,,,,,,,,,,,,,,,0.0,300.1013352127438
,residential,,,,Rua Trinca Ferro,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,287.1416084113574
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,143.85534983156077
,track,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,88.27946631570927
,residential,,,,Rua Papagaio,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,387.25269094239695
,residential,,,,Rua Juriti,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,396.38270485887875
,residential,,,,Rua 4,,,,,,,,Rua Quatro,,,,,,,,,,,,,,,,,,0.0,406.6067043076536
,residential,,,,Avenida 3,,,paved,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,1045.5535729672956
,residential,,,,Rua Cisne Branco,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,415.1268080969404
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,122.93459871538704
,residential,,,,Rua 1,,,,,,,,Rua Um,,,,,,,,,,,,,,,,,,0.0,418.7055067646166
,residential,,,,Rua Gavião Real,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,305.8486564292604
,residential,,,,Rua Gavião Real,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.304149660762985
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,233.3772782694717
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,243.94043012906687
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,261.2956064631046
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,26.918728776627326
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,214.58667102856805
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,217.7634746589308
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,217.83071473772748
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,174.37806364153022
,residential,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,327.65104576995697
,residential,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,110.20438057720614
,residential,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,223.10891668353958
,residential,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,101.22088859955718
,residential,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,108.82241737737742
,residential,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,187.22543934620728
,residential,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,432.2132744043207
,residential,,,,Rua 12,,,,,,,,Rua Doze,,,,,,,,,,,,,,,,,,0.0,55.192749939067994
,tertiary,,2,,Rua José Calil Filho,,,,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,173.7483353271617
,residential,,,,Avenida 1000,,,,,,,,Avenida Mil,,,,,,,,,,,,,,,,,,0.0,149.41492567198387
,tertiary,,2,,Estrada Municipal do Incra,yes,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,283.9194915692749
,residential,,,,Rua J,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,126.37772852956834
,residential,,,,Rua F,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,107.11022106956437
,residential,,,,Rua E,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,92.99519331634137
,residential,,,,Rua I,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,46.659512355086534
,residential,,,,Rua I,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,147.8031010277868
,residential,,,,Rua G,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,49.44253779344219
,residential,,,,Rua B,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,94.21187439083778
,residential,,,,Rua C,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,65.07667304216348
,residential,,,,Rua 1,,,,,,,,Rua Um,,,,,,,,,,,,,,,,,,0.0,198.04637822102998
,residential,,,,Rua 2,,,,,,,,Rua Dois,,,,,,,,,,,,,,,,,,0.0,237.22982101476762
,residential,,,,Rua 4,,,,,,,,Rua Quatro,,,,,,,,,,,,,,,,,,0.0,165.04173513357367
,residential,,,,Rua 3,,,,,,,,Rua Três,,,,,,,,,,,,,,,,,,0.0,175.8413159288577
,residential,,,,Rua 5,,,,,,,,Rua Cinco,,,,,,,,,,,,,,,,,,0.0,154.5425138205282
,residential,,,,Rua 7,,,,,,,,Rua Sete,,,,,,,,,,,,,,,,,,0.0,143.0749903991167
,residential,,,,Rua 8,,,,,,,,Rua Oito,,,,,,,,,,,,,,,,,,0.0,129.5470594972123
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,244.21593453057156
,residential,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,207.25291190284963
,residential,,,,Rua do Andaime,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,198.95343712570235
,residential,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,0.0,229.95346551645068
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,309.4998262392803
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,138.85302476139654
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,586.6275645710174
,residential,,,,Avenida D,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,325.7290403908979
,residential,,,,Avenida C,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,293.9030050124554
,residential,,,,Rua B,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,227.45872334229446
,residential,,,,Rua I,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,119.47140648067167
,residential,,,,Rua K,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,165.9396231633175
,residential,,,,Rua H,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,117.67378922532299
,residential,,,,Rua E,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,379.5383600958097
,residential,,,,Rua F,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,51.70181263316477
,residential,,,,Rua J,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,51.19214599961746
,residential,,,,Rua D,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,50.59254947295112
,residential,,,,Rua C,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,49.657923921916165
,residential,,,,Avenida A,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,284.2872796525539
,residential,,,,Avenida B,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,91.36080499788972
,residential,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,156.87213984006613
,residential,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,141.2379424013823
,residential,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,67.02355036401998
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,199.40538914909243
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,171.40698142647915
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,72.78471570716263
,residential,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,0.0,847.3892207180163
,residential,,,,Rua A,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,144.1630601693415
,residential,,,,Rua Wilde Brandão Wileman,yes,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,514.7239169318125
,residential,,,,Rua 12,,,,,,,IBGE,Rua Doze,,,,,,,,,,,,,,,,,,0.0,160.3901142594674
,residential,,,,Rua 2,,,,,,,,Rua Dois,,,,,,,,,,,,,,,,,,0.0,249.9815774605972
,residential,,,,Rua 1,,,,,,,,Rua Um,,,,,,,,,,,,,,,,,,0.0,228.5116747623687
,residential,,,,Rua 1 A,,,,,,,,Rua Um A,,,,,,,,,,,,,,,,,,0.0,129.14909075551114
,living_street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,421.3785188548701
,living_street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,110.233094402291
,living_street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.652822703500638
,residential,,,,Travessa 1,,,,,,,,Travessa Um,,,,,,,,,,,,,,,,,,0.0,34.70811714723151
,residential,,,,Travessa 1,,,,,,,,Travessa Um,,,,,,,,,,,,,,,,,,0.0,99.3850267769862
,residential,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,332.4289308120622
,residential,,,,Travessa 1,,,,,,,,Travessa Um,,,,,,,,,,,,,,,,,,0.0,37.83270628357644
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,45.588521133675215
,tertiary_link,,1,,,yes,,paved,,,,IBGE,,,,,,,,,,,,,,,,,,,0.0,72.37104028976199
,tertiary,,1,,Rua Antônio Cesario,yes,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,23.80055125907471
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,271.3021586926204
,residential,,,,Avenida B,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,101.53635622534797
,residential,,,,Rua São José,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,192.78014019348993
,living_street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,534.0360090830469
,living_street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,182.77801910865205
,living_street,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,0.0,32.77621943164324
,living_street,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,0.0,38.04170021239322
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,32.23888998958058
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,96.86598853533555
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,61.34675962114511
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,359.91130827990276
,residential,,,,Avenida 2,,,,,,,,Avenida Dois,,,,,,,,,,,,,,,,,,0.0,253.41037133664463
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,304.45744521299076
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,242.63189807801484
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,68.40233492597004
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,203.54036310115356
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,68.23878474467226
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,68.62650421156478
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,69.62244982366506
,residential,,,,Rua Wilma Dias,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,291.31044574873744
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,304.4746797255773
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,95.038824741814
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,237.21453741451666
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,64.2612418396611
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,108.29375097348816
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,36.98593732334317
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,64.05424121572062
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,156.31117907091183
,residential,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,0.0,556.5646871162371
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,117.94887856941962
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,175.23094963200543
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,23.8867664159543
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,29.195990780186897
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,69.45712917764058
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,62.7233806419996
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,85.66166232158812
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,115.7979031536859
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,94.51802922669677
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,163.93758058117032
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,39.7235871415033
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,83.8783229004263
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,96.57756040313227
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,115.71047615638017
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,243.7326854148372
,residential,,,,Rua A,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,165.45996612664953
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,236.3157758236288
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,184.20203954803696
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,156.6064594311745
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77.79839512291389
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,67.4053156281997
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,74.90039470554326
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,28.66991191281969
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,159.4530609615592
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,73.41625990635904
,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,71.69493341119872
,service,,,,,,,,,,,,,,alley,,,,,,,,,,,,,,,,0.0,30.939216554068175
,service,,,,,,,,,,,,,,alley,,,,,,,,,,,,,,,,0.0,120.95727184050486
,residential,,,,Rua 4,,,,,,,,Rua Quatro,,,,,,,,,,,,,,,,,,0.0,54.122864754646386
,residential,,,,Rua 10 A,,,,,,,,Rua Dez A,,,,,,,,,,,,,,,,,,0.0,113.25988013902438
,service,,,,,,,,,,,,,,alley,,,,,,,,,,,,,,,,0.0,49.97966200057431
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,168.46353171975395
,residential,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,261.3217264906901
,residential,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,87.49329849487624
,residential,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,67.29020985292486
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1339.6711836938239
,residential,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,583.8425172564741
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,124.85667994893102
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,128.14682576952134
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,130.23476606102028
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,130.93659522007502
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,236.20212131208467
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,163.90625275367333
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,142.2447814072089
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,88.25424732744564
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,157.1177234338333
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,278.77828562954613
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,123.29476321762887
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,257.36939532588843
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,238.95758962276432
,residential,,,,R Dr. Andrea Vasconcelos Meireles,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,0.0,640.5997709236653
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,328.9436034277264
,residential,,,,R. Elias Cortez,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,403.60286306001
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,187.38067128737697
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,234.74686172016564
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,249.74783158950646
,residential,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,0.0,34.60808021459908
,residential,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,0.0,301.52619529979376
,residential,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,0.0,297.4986154668575
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.839572571340712
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,339.365438928667
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,395.8506864609169
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,397.2645090086889
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,128.59501092591617
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,188.4835805781576
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,177.30325119545552
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,190.70363764115896
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,203.14869223473931
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,50.050145680117616
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,39.18538294149059
,residential,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,0.0,26.692301132261875
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,128.46361843157658
,primary,,2,,Rua Hildebrando Alves Barbosa,yes,,,,,,,,,,,,,,,,,,,,,,,,,0.0,16.498487576592616
,footway,,,,,,,,,,,,,,,,,,,,,crossing,,,,,,,,,0.0,13.665564714292435
,cycleway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,186.20178241607337
,cycleway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,181.9738924476083
,cycleway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,47.69400888513588
,residential,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,147.1716674022362
,primary,,2,60,Rua Hildebrando Alves Barbosa,yes,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,2462.704838827036
,primary,,2,,Rua Hildebrando Alves Barbosa,yes,,,,,,,,,,,,,,,,,,,,,,,,,0.0,15.728177511760725
,primary,,2,60,Rua Hildebrando Alves Barbosa,yes,,asphalt,,,,,,,,,,,,,,,,,,,,,,,0.0,824.6611960951693
,primary,,2,60,Rua Hildebrando Alves Barbosa,yes,,paved,,,,,,,,,,,,,,,,,,,,,,,0.0,2427.0401935461387
,primary,,2,60,Rodovia Amaral Peixoto,,,paved,,,,GPS,,,,,,,,,,,,,,,,,,,0.0,1766.037802993922
,unclassified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,661.8444624982055
,path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,223.3976053862527
,tertiary,,2,,Avenida do Canal,yes,MC-03,,,,,,,,,,,,,,,,,,,,,,,,0.0,193.71845789974435
,residential,,,,Rua 3 A,,,,,,,,Rua Três A,,,,,,,,,,,,,,,,,,0.0,119.43715006554328
,residential,,,,Rua 6,,,,,,,,Rua Seis,,,,,,,,,,,,,,,,,,0.0,74.1020382719928
,unclassified,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,0.0,534.4954305858254
,service,,,,,,,,,,,,,,alley,,,,,,,,,,,,,,,,0.0,81.64208173291705
,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,76.46476901849884
